year	session	type	session_title	n_participants
2015	1026346	Roundtable	The State of the Study of African-American Political Thought Roundtable	4
2015	1026347	Roundtable	The Place of Literature in American Political Thought Roundtable	5
2015	1026356	Full Panel	Asian American Mobilization and Marginalization: Exploring the Context and the Constituents	7
2015	1026367	Full Panel	Taking Stock of Narrative Policy Analysis	5
2015	1026374	Paper Session	Comparative Constitutionalism	6
2015	1026381	Paper Session	Parties, Partisanship and Polarization	6
2015	1026384	Full Panel	The Methods Cafe	19
2015	1026411	Paper Session	Foundations, Regime Structure, and Struggle	5
2015	1026422	Roundtable	Labor and the South in American Politics	4
2015	1026443	Paper Session	Water and Marine Politics	7
2015	1026447	Paper Session	Governance of New Technologies	7
2015	1026448	Paper Session	Public Opinion, Information Technology, & Environmental Attitudes	7
2015	1026452	Paper Session	Environmental Stress, Risk, and Natural Disasters	7
2015	1026453	Roundtable	Immigration:  Legal, Political and Moral Considerations in the United States Roundtable	11
2015	1026454	Paper Session	Business, Politics, and Environmental Governance	7
2015	1026491	Paper Session	Constitutional Construction of Rights, New and Old	7
2015	1026528	Poster Session	Poster Session: Normative Political Theory	14
2015	1026546	Paper Session	Cream Puff War:  Courts and Interbranch Relations	8
2015	1026551	Paper Session	We Just Disagree:The Dynamics of Dissents	7
2015	1026558	Paper Session	What Goes Up Must Come Down: Courts, Federalism and the States	6
2015	1026569	Paper Session	Nuclear Stability and Deterrence	6
2015	1026571	Paper Session	New Ways of War: Drones, Robots, and Unmanned Weapons	6
2015	1026573	Paper Session	Nuclear Politics and Proliferation	6
2015	1026575	Paper Session	The origins and effects of primary elections	8
2015	1026577	Paper Session	Representation Through Political Parties	5
2015	1026578	Paper Session	Conflict and Cooperation: Domestic and International Perspectives	6
2015	1026579	Paper Session	Party System Polarization in Comparative Perspective	6
2015	1026581	Paper Session	Party Policy Positioning and Campaign Strategies	6
2015	1026588	Paper Session	The Dynamics of Party Positioning	5
2015	1026595	Paper Session	Parties' Issue Position and Emphasis Strategies	5
2015	1026601	Paper Session	Elections and Legislative Voting in the United States	7
2015	1026602	Paper Session	Explaining Party and Government Support	6
2015	1026603	Paper Session	Intervention Politics	4
2015	1026604	Paper Session	Dynamics of Militant Organizations	5
2015	1026605	Paper Session	The Causes and Consequences of Party Nomination Rules	7
2015	1026606	Paper Session	Domestic Institutions and Foreign Policy	7
2015	1026607	Paper Session	Economics and International Security	7
2015	1026608	Paper Session	Party Positions and their Programmatic and Representational Orientations	5
2015	1026609	Paper Session	The Dynamics of Rise and Decline	4
2015	1026610	Paper Session	Public Opinion and War	5
2015	1026611	Paper Session	Credibility, Reputation, and Resolve	7
2015	1026613	Paper Session	China's Foreign Policy and Relations with the World	7
2015	1026614	Paper Session	Bargaining, Crises, and War	6
2015	1026615	Paper Session	Alliance Politics	4
2015	1026616	Poster Session	Poster Session: Political Organization and Parties	6
2015	1026618	Paper Session	Reconsidering Rationalist Approaches to War	7
2015	1026635	Paper Session	Examining Counter-terrorism and insurgency policies	8
2015	1026636	Paper Session	Representation and Voting	7
2015	1026638	Paper Session	Economic Diplomacy: The Effect of Aid, Sanctions, and Trade	6
2015	1026639	Paper Session	The Effect of Inclusion and Exclusion on Foreign Policy Attitudes	7
2015	1026640	Paper Session	Foreign Policy of Middle East States	7
2015	1026648	Paper Session	Presidents in Context: Political Time and Polarization	8
2015	1026651	Poster Session	Poster Session: Presidents and Executive Politics	6
2015	1026665	Paper Session	Emotion, Psychology, and Conflict	7
2015	1026703	Poster Session	Poster Session: Foreign Policy	10
2015	1026716	Poster Session	Poster Session: Conflict Processes	11
2015	1026728	Poster Session	Poster Session: Constitutional Law and Jurisprudence	5
2015	1026745	Paper Session	Voices of the Unheavenly Chorus: Ineqalities in Organized Influence	7
2015	1026755	Paper Session	Inequality, Public Opinon, and Policy	8
2015	1026772	Poster Session	Poster Session: Politics and History	8
2015	1026785	Paper Session	The China Puzzle in International Security	4
2015	1026812	Poster Session	Poster Session: International Security	17
2015	1026825	Full Panel	Latinas in American Politics: Bridging the gap between Intersectionality and Electability	6
2015	1026858	Paper Session	London Calling or the Final Countdown?  Judicial Behavior on European Courts	8
2015	1026886	Paper Session	Never Been Any Reason: Measuring Ideology on The U.S. Supreme Court	8
2015	1026890	Paper Session	Tell Me Why: Courts and Legitimacy	7
2015	1026898	Paper Session	I Fought the Law: The  Influence of Law in Judicial Decision Making	8
2015	1026902	Paper Session	Runnin' on Empty: Selecting State Judges	8
2015	1026906	Paper Session	Message in a Bottle: Judicial Politics in State Supreme Courts	8
2015	1026931	Paper Session	Everyday People are People: Diversity in the Legal Profession and on the Bench	7
2015	1026950	Paper Session	Takin' it to the Streets: Legal Mobilization in the United States and Abroad	8
2015	1026959	Poster Session	Poster Session: Another Brick in the Wall	5
2015	1027216	Full Panel	From the Abstract to the Concrete: Political Philosophy and Social Action	6
2015	1027800	Roundtable	Author Meets Critics  Dennis Patterson's Minds, Brains, and Law :  The Conceptual Foundations of Law and Neuroscience .	6
2015	1029313	Full Panel	Visualizing and Interpreting China in IR: New Methodological Diversities	7
2015	1032815	Poster Session	Poster Session: Race, Ethnicity, and Politics	8
2015	1033058	Paper Session	Domestic Governance and Human Rights	7
2015	1034099	Poster Session	Posters on Experimental Approaches to Politics	5
2015	1036399	Poster Session	Poster Session: Migration and Citizenship Division	6
2015	1037217	Roundtable	Teaching Civic Engagement: From Student to Active Citizen	6
2015	1037261	Roundtable	Diversity and Asian American Community Involvement: Past, Present and Future	6
2015	1037267	Roundtable	From Hurricane Katrina to Ferguson: Environmental Justice, the State, & Violence	6
2015	1037284	Roundtable	Backlash and Marriage Equality Litigation	6
2015	1037417	Roundtable	Ethics Committee Roundtable	6
2015	1037419	Roundtable	Do Blacks Lives Matter?:  Analyzing Police Killings of Unarmed Black Citizens	6
2015	1037420	Roundtable	DSP Non-Academic Jobs Roundtable	6
2015	1037421	Roundtable	Reflections on the Impact of Martha Derthick on Political Science	5
2015	1037422	Roundtable	Research Support Symposium	6
2015	1037425	Roundtable	APSA-IPSA Roundtable: Perspectives on International Research & Methods Workshops	6
2015	1038516	Roundtable	Perestroika and Perspectives: U.S. Political Science Between Past and Future	9
2015	1038677	Full Panel	Emerging Scholars in Latino Politics	7
2015	1038683	Roundtable	The Promises and Pitfalls of DART: Crafting New Submissions Guidelines for the APSR	8
2015	1038744	Poster Session	Poster Session: Class & Inequality	1
2015	1038755	Roundtable	Ad Hoc Committee on Governance Reform Open Forum	9
2015	1039214	Roundtable	Best Practices to Achieve and Sustain Gender Equality:  Are We There Yet?	9
2015	1039219	Roundtable	Strategies for Balancing Your Teaching and Research Agendas	3
2015	1039898	Theme Session	Plenary Address: Why Economics Is Too Important to Be Left to Economists, Featuring Robert Reich	1
2015	1039899	Theme Session	Plenary Address: Taking Embedded Liberalism Global: Lessons from Business and Human Rights, Featuring John Ruggie	2
2015	1039900	Roundtable	111th APSA Annual Meeting Presidential Address: American Politics, and Political Science, in an Era of Growing Racial Diversity and Economic Disparity	1
2015	1040528	Short Course	Short Course: Playing Games with ( theories of ) Political Violence	3
2015	1040531	Short Course	Short Course: Public Management	1
2015	1040632	Short Course	Short Course: What Works? Strengthening Electoral Integrity	1
2015	1040635	Short Course	Short Course: Comparative Approaches to the City	10
2015	1040636	Short Course	Short Course: PoliInformatics Text as Data Workshop	1
2015	1040637	Short Course	Short Course: Political Psychology	1
2015	1040639	Short Course	Short Course: Department Leadership	1
2015	1040641	Short Course	Short Course: The State of the Field in Federalism/IGR Research: Approaches to Design, Data, Measurement, and Analysis	2
2015	1040644	Short Course	Short Course: Politics at APSA - New Political Science, Anti-Apartheid Movements, and Israel/Palestine	2
2015	1040648	Short Course	Short Course: The Methods Studio – Data Access and Research Transparency from an Interpretive-Qualitative Perspective	6
2015	1040650	Short Course	Short Course: Coalition Building to Advance Diverse Leadership and Address Discrimination in Political Science	2
2015	1040668	Short Course	Short Course: Ranked Choice Voting in the U.S.A.: Developments and Debates	1
2015	1040669	Short Course	Short Course: Designing Multi-Method Research	1
2015	1040670	Short Course	Short Course: Process Tracing	2
2015	1040677	Short Course	Short Course: Designing and Conducting Field Research	2
2015	1040679	Short Course	Short Course: Politics, Markets, and Organized Interests - New Questions about Power, Policy, and Influence	1
2015	1040681	Short Course	Short Course: Building International Scholarly Partnerships	3
2015	1040682	Short Course	Short Course: The Role of Scholar-Activism: How Political Scientists Can Bolster Resistance Movements	1
2015	1042588	Short Course	Short Course: Understanding Complexity - Research Applications for Policy & Political Science	1
2015	1042871	Poster Session	Poster Session: Health Politics & Health Policy	3
2015	1043000	Roundtable	Breaking News: Beyond the Confederate Flag: The Politics of Race and Civil Rights after the Charleston Massacre	5
2015	1043001	Roundtable	Breaking News: Trade Negotiations, Fast Track and American Workers: the Politics of TPP	7
2015	1044085	Roundtable	Engaged Scholars Address Leading Issues in US Politics	4
2015	1046087	Roundtable	What's New in Policy Research? Contemporary Approaches on Public Policy	8
2015	1046093	Short Course	Short Course: Diversity, Inclusion, Access and Equality: Strategies for Incorporating Diverse Approaches and Themes	6
2015	1047149	Poster Session	Poster Session: RBSI Scholars	6
2015	1052166	Full Panel	Federal Budget Reform Project	7
2015	978797	Roundtable	Can There Be a (Good) Ethics for Politics?	4
2015	979248	Roundtable	Israel and Palestine: Alternative Perspectives on Statehood	5
2015	979481	Roundtable	Reimagining Radical Politics Today	6
2015	982171	Full Panel	Legacies of Revolution	7
2015	987971	Full Panel	Socialization and Violence	8
2015	988016	Full Panel	Constitutions and Revolutions	6
2015	989050	Roundtable	Internationalization of the Yuan	6
2015	989098	Roundtable	Beyond Freedom and Violence: Religion, Politics, and Interpretive Methods	6
2015	989401	Full Panel	Varieties of Description in the Social Sciences	6
2015	989449	Full Panel	The Rise of the Populist Right?: Anti-Immigration Parties in Western Europe	7
2015	989531	Roundtable	"Roundtable on Margaret Moore's ""A Political Theory of Territory"""	6
2015	989837	Full Panel	When Do Dictators Tremble? Threat Perceptions under Authoritarian Rule	6
2015	989921	Roundtable	Patterns of Uneven Representation and Economic Policymaking in Latin America	6
2015	990349	Roundtable	Is Deception Justified? Covert Field Research and Democratic Values	6
2015	991206	Roundtable	Ideational Turns in the Four Subdisciplines	4
2015	991720	Full Panel	Online and Offline Political Participation and Their Consequences for Democracy	7
2015	992356	Full Panel	Genocide, Politicide, and Government Mass Killing	7
2015	992407	Full Panel	Possessive Individualism Revisited	6
2015	992444	Roundtable	"Terence Ball's ""Reappraising Political Theory"" Twenty Years Later"	5
2015	992526	Roundtable	The Prospects for Constitutional Change and Reform in the U.S.	5
2015	992528	Full Panel	Civilian Casualties and Support for the Use of Force	8
2015	992712	Full Panel	Parties and Ideologies in American Political Development	6
2015	992762	Full Panel	The View from the Provinces: Empire in Contexts	6
2015	992783	Full Panel	Development Amidst Extraction: Subverting the “Resource Curse”	6
2015	992791	Full Panel	Human Rights and the Impact of Institutions in International Relations	7
2015	992833	Roundtable	Diversifying Cinematic Politics	5
2015	992864	Full Panel	Theorizing the Anthropocene	5
2015	992882	Full Panel	Civil-Military Relations as a Cause and Result of Conflict	8
2015	993025	Full Panel	Transparency in Democracies and Dictatorships: Challenges and Enduring Questions	8
2015	993074	Full Panel	The Politics/Violence Frontier	7
2015	993099	Roundtable	"Author Meets Critics: Francis Fukuyama's ""Political Order and Political Decay"""	6
2015	993102	Full Panel	Political Dynamics of Local Governance in Africa and beyond	8
2015	993119	Full Panel	The American Founding Reconsidered	7
2015	993179	Full Panel	Prerogative and Constraint in Presidential Policy-Making	5
2015	993218	Full Panel	International Legalization and Constitutionalization	7
2015	993230	Roundtable	Roundtable on Nuno P. Monteiro’s “Theory of Unipolar Politics”	5
2015	993240	Full Panel	Diversities in Democracy: Political Accountability in 21st Century Latin America	7
2015	993262	Full Panel	Fraud, Clientelism and Coercion in Elections	6
2015	993284	Full Panel	Diagnosing the Contemporary: Critical Genealogies of the Present	7
2015	993370	Roundtable	"Alex Gourevitch’s ""From Slavery to the Cooperative Commonwealth"""	5
2015	993388	Full Panel	Studying the Sequencing of Regimes	7
2015	993410	Full Panel	New Perspectives on Electoral Participation	6
2015	993431	Full Panel	Authoritarian Successor Parties and Democracy	6
2015	993511	Full Panel	Women and Republicanism in the Eighteenth Century	7
2015	993525	Full Panel	Networked International Politics: Interdependence and International Conflict	9
2015	993607	Full Panel	Understanding Quasi-Democratic Institutions Under Authoritarian Regimes	6
2015	993627	Full Panel	Diversity and the International Relations of Civil War	7
2015	993635	Full Panel	Party Competition and the Welfare State	7
2015	993683	Full Panel	Organizational Forms and Dynamics in Digital Media Environments	6
2015	993697	Roundtable	Beyond (and Back to) Ferguson: Race and Power(lessness) in American Cities	6
2015	993729	Full Panel	Political Preferences and Behavior in the Brazilian National Elections	8
2015	993787	Full Panel	Across the Revolutionary Divide: Rethinking Nineteenth-Century Political Thought	5
2015	993835	Roundtable	Realism Meets Deliberative Democracy: Diversity in Political Theory	6
2015	993863	Full Panel	Sources of Social Criticism from the Margins	6
2015	993928	Full Panel	Frontiers of Historical Institutionalism	7
2015	993971	Full Panel	Responsibility for Racial Justice	7
2015	994091	Full Panel	Presenting Parties to Voters: New Media Meets Old Media	7
2015	994324	Full Panel	Minority Representation Across Contexts	7
2015	994367	Full Panel	Coalition Governments and Legislative Bargaining	7
2015	994382	Full Panel	Beyond Ratification: The Many Ways that the International Legal System Matters	8
2015	994397	Roundtable	Advances in Foreign Policy Role Theory	5
2015	994407	Roundtable	The Art of Elections	5
2015	994410	Roundtable	Author Meets Critics: The Lovers’ Quarrel: The Two Foundings	6
2015	994418	Full Panel	Popular Culture and Contentious Politics	6
2015	994455	Full Panel	Taking it to the Streets: Social Resistance & State Responses in Southeast Asia	7
2015	994489	Full Panel	The Political Sources of Solidarity in Diverse Societies	8
2015	994494	Full Panel	Policies, Politics and Financial Crises	7
2015	994518	Full Panel	Determinants of National Environmental Performance: Cross-National Evidence	6
2015	994539	Full Panel	Leadership Change and Foreign Policy	8
2015	994552	Full Panel	China's Economic Statecraft and Security	6
2015	994614	Roundtable	Circulatory and Control Power in World Politics	7
2015	994628	Full Panel	Non-State Actors in Environmental Politics	7
2015	994639	Roundtable	Crises of Politics, the Politics of Crises	5
2015	994658	Full Panel	The Politics of Credit Rating Agencies	7
2015	994727	Full Panel	Distributional Conflicts and Governance at the Subnational Level	7
2015	994742	Full Panel	Business Power in American Politics: New Evidence, Mechanisms, and Methods	6
2015	994816	Full Panel	Diversity and the Politics of Immigrant Selection	8
2015	994841	Roundtable	Epistemic Democracy and Its Critics	5
2015	994846	Full Panel	Formal Models of Political Information and Communication	6
2015	994851	Full Panel	Race, Capitalism, and Law in American Political Development	6
2015	994857	Roundtable	"Author Meets Critics: ""How Propaganda Works"""	5
2015	994873	Full Panel	The Political Economy of Immigration, Redistribution, and Inequality	7
2015	994890	Full Panel	Trade in International Relations	7
2015	994895	Roundtable	Rousseau’s Lesser Known Works on Women	5
2015	994904	Full Panel	Commercial Sex, Comparatively	7
2015	994951	Roundtable	Conceptualizing Parties: Parties as Policy Demanders and the Alternatives	5
2015	994954	Full Panel	Individual-level Attitudes and Behavior in Contentious Environments	8
2015	995021	Full Panel	The Political Science of Public Policy	7
2015	995058	Full Panel	Economic Vote and Democratic Accountability in Global Economies	8
2015	995070	Full Panel	Gender, Personal Ties, and Politics: New Perspectives on Informal Institutions	6
2015	995077	Full Panel	Inequality, Institutions, and Regime Transitions	7
2015	995102	Full Panel	Diversities of Advocacy in the Policymaking Process	8
2015	995125	Full Panel	Literature of Diminished Democracy	6
2015	995136	Full Panel	U.S. Domestic Politics and the Use of Force	7
2015	995160	Full Panel	Never the Twain Shall Meet? Party Politics in Western and Eastern Europe	8
2015	995172	Full Panel	Coercion in International Relations	7
2015	995187	Full Panel	Politics, Social Policies, and Subnational Diversity in Latin America	6
2015	995195	Full Panel	State-Business Relations in the 21st Century: Lessons from Latin America	7
2015	995202	Full Panel	Foreign Aid, Natural Resources, Taxation, and Accountability	8
2015	995242	Roundtable	"Author Meets Readers: Frederic Schaffer's ""Elucidating  Social Science Concepts"""	6
2015	995304	Roundtable	NEH@50: Humanities and the Common Good	5
2015	995321	Full Panel	Conceptualization and Measurement of Diversity in Comparative Politics	7
2015	995360	Theme Session	Marriage Equality in the US: How Did We Get Here?	6
2015	995405	Full Panel	Race, Affect, Politics	7
2015	995425	Full Panel	Coalitions at War	6
2015	995437	Full Panel	New Frontiers in Resource Politics	6
2015	995447	Full Panel	Race and Memory in American Political Thought	7
2015	995521	Full Panel	Long Shadows of History: How Past Violence Shapes Present-Day Political Outcomes	7
2015	995527	Full Panel	Comparing Judicial Independence: Social and Institutional Explanations	7
2015	995556	Full Panel	Subnational Variations in Democracy and Autocracy	7
2015	995598	Full Panel	Strategic State Repression between Conflict and Political Order	9
2015	995616	Full Panel	Structural Power in Political Economy: States, Firms, and Theory	5
2015	995626	Full Panel	Does Vote Buying Work and, if so, When?	8
2015	995647	Full Panel	Networked International Politics: Methodological Challenges and Solutions	7
2015	995661	Full Panel	Dream, Work, Play:  Psychoanalysis, the Unconscious, and Radical Politics	6
2015	995673	Full Panel	The Politics of Education	6
2015	995691	Full Panel	Crisis of democracy? Party politics and representation in times of austerity	5
2015	995727	Full Panel	Power Shifts in War and Peace: New Theoretical and Empirical Insights	5
2015	995750	Full Panel	"The ""Human"" and its Others"	8
2015	995758	Full Panel	Beyond the State: The Micro-dynamics of Aid and Conflict	7
2015	995779	Full Panel	A Disintegrating West and the Future of the International System?	6
2015	995788	Full Panel	Nuclear Proliferation: Diverse Actors and Strategies Reconsidered	7
2015	995808	Roundtable	Strategies for Promotion from Associate to Full Professor	5
2015	995832	Full Panel	Social Policy Non-democracies, #1:Political Economy Authoritarian Welfare States	6
2015	995872	Full Panel	After the Crisis: Social Policymaking in an Era of Austerity	5
2015	995907	Full Panel	Data and Methods in the Comparative Study of Courts	8
2015	995923	Full Panel	Imperialism and Colonialism: Transnational Connections	6
2015	995927	Full Panel	Corruption and the Politics of Reform in Middle-Income Countries	7
2015	995976	Full Panel	Comparative Dimensions in Colonial Politics	7
2015	995992	Full Panel	Women’s Engagement in African Politics: Opportunities and Constraints	8
2015	996001	Full Panel	Diverse Legacies of Violence: Memory, Recognition, and Reparations	6
2015	996026	Full Panel	Struggles over the Common-wealth	6
2015	996061	Full Panel	International Institutions and Domestic IPE Policies	9
2015	996117	Full Panel	Leadership Survival, Political Institutions and Conflict	8
2015	996162	Full Panel	Immigrants and Democratic Theory: A Problem only for Outsiders?	6
2015	996182	Full Panel	Is There A Human Rights Tradition in China?	7
2015	996204	Full Panel	A Wittgensteinian Approach to Political Theory	6
2015	996222	Full Panel	Unpacking Complicity	5
2015	996230	Full Panel	Machiavelli Out of Context	7
2015	996236	Full Panel	Decentralization, Recentralization, Participation and Inequality	7
2015	996262	Full Panel	Accountability and Public Goods Provision: New Evidence from Africa	6
2015	996270	Full Panel	Anarchism and Radical Democracy	6
2015	996300	Full Panel	Women and Children and Violent Extremism: Victims to Victimizers?	6
2015	996318	Full Panel	Responses to the Rise of China in Advanced Industrialized Democracies	6
2015	996333	Full Panel	Formal Institutions and the Channeling of Democratic Participation	6
2015	996350	Full Panel	Causes and Consequences of Nuclear Weapons Proliferation	7
2015	996394	Full Panel	The International and Domestic Sources of Democratic Reform in Tunisia & Beyond	7
2015	996421	Full Panel	Contested accountability in developing countries	7
2015	996464	Full Panel	Innovations in understanding attitudes and behaviour on support for overseas aid	6
2015	996540	Full Panel	Political Stability and Economic Growth in China	8
2015	996563	Full Panel	Comparative Crime and Punishment Policy	5
2015	996600	Full Panel	Violence in Contentious Processes	7
2015	996622	Full Panel	Assessing Uncertainty in Foreign Policy Decision Making	6
2015	996656	Full Panel	Electoral Dynamics in India: A Multi-level and Longitudinal Perspective	6
2015	996691	Roundtable	Domestic Politics and American Foreign Policy: Sailing the Water's Edge	6
2015	996711	Full Panel	Urbanization, Class and Political Participation in Developing Democracies	7
2015	996795	Full Panel	Machiavelli, the Laws, and Liberty	4
2015	996801	Full Panel	Police Power and Political Theory	6
2015	996826	Full Panel	Deadly Threats/Changing the World: Terrorism & Human Rights in the Global Arena	7
2015	996910	Full Panel	United Nations Peacekeeping During and After Civil Violence	8
2015	996980	Full Panel	Political Economy in the Rise of China and India	6
2015	997015	Full Panel	Global Diversities of Responses to Gender-Based Violence	8
2015	997075	Full Panel	Hobbes and Religion	7
2015	997090	Full Panel	Absentee States: Ungoverned Spaces and the Limits to State Authority	8
2015	997102	Roundtable	"Book Roundtable: ""The Politics of Advanced Capitalism"" (2015, CUP)"	7
2015	997124	Full Panel	Reducing Political Corruption	6
2015	997133	Full Panel	Voters and Mandates: Evaluating Specific Accountability Processes	7
2015	997147	Full Panel	The Military and Democratization	7
2015	997223	Full Panel	Empirical Analyses of Foreign Policy Crisis Behavior	8
2015	997257	Full Panel	Assessing and Improving the Quality of Intelligence Analysis	7
2015	997270	Roundtable	"Author Meets Critics: ""A Theory of Contestation"" by Antje Wiener"	4
2015	997287	Full Panel	On Human Dignity and Human Rights	7
2015	997296	Full Panel	Labor Market Insecurity and Party Politics in the 21st Century	7
2015	997351	Full Panel	The Performance of International Organizations	8
2015	997372	Roundtable	Roundtable on Hannah Arendt and the Negro Question	6
2015	997388	Theme Session	Ethics of Field Research	7
2015	997403	Full Panel	Authoritarian Legacies and Challenges to Post-authoritarian Democracies	7
2015	997422	Roundtable	"Author Meets Critics: Bartholomew Sparrow’s ""The Strategist"""	6
2015	997473	Full Panel	Oil Politics and Development	6
2015	997485	Full Panel	Institutional Change at the Nexus of Function and Dysfunction	7
2015	997497	Full Panel	Conservatism & Feminism, a 'Dangerous Liaison’? Contemporary Thought & Practice	7
2015	997519	Full Panel	New Directions in the Study of Electoral Authoritarianism	7
2015	997545	Full Panel	Secrecy in International Politics	7
2015	997613	Full Panel	Formal Approaches to Elections and Power in Democracy and Autocracy	7
2015	997633	Full Panel	Backlash against Diversity in Europe	5
2015	997647	Full Panel	Private Idaho: Fragmentation and Retrenchment in Private Enforcement Regimes	7
2015	997662	Full Panel	Rebel Strategies and Counter-Strategies in Civil War	7
2015	997681	Full Panel	Political Economy of the Origins, Dynamics, and Tenure of Autocratic Rule	6
2015	997691	Full Panel	Historical Processes of National Identity Formation in the Developing World	7
2015	997736	Full Panel	What is Resistance?	6
2015	997798	Roundtable	Iris Young's Justice and the Politics of Difference: 25 Years On	6
2015	997826	Full Panel	Work, Wages & Health: What's the State Got to Do with It?	8
2015	997837	Full Panel	Non-State Organizations and Distributive Politics in the Developing World	7
2015	997864	Full Panel	Social Media and Political Participation	7
2015	997871	Full Panel	Political Science in Russia: Reflections on 60 Years of Development	6
2015	997892	Full Panel	Reappraising National Self-Determination	6
2015	997900	Full Panel	Regime Change and Governability in Interwar Europe Revisited	6
2015	997939	Full Panel	The Role of Motivated Reasoning in the Political Process	8
2015	998002	Roundtable	Author Meets Critics: Bruce Cain's Democracy More or Less	6
2015	998019	Full Panel	Diversity of Conflict: Legal versus Militarized Disputes	9
2015	998090	Full Panel	Climate Politics and Preferences for Domestic and International Policy	7
2015	998104	Full Panel	The Consequences of Democratic Institutions Revisited	7
2015	998205	Full Panel	Rethinking the U.S. Grand Strategy Debate	6
2015	998271	Roundtable	Talk Talk: Empirical and Methodological Insights from Interviewing Judges	6
2015	998314	Full Panel	The Obama Presidency and Constitutional Law	7
2015	998392	Full Panel	Debating Structural Theories of Injustice, Domination, and Oppression	5
2015	998480	Full Panel	Advancing Saliency Theory: Parties' Salience Strategies in Multi-Issue Elections	8
2015	998487	Full Panel	The Politics of Urban Transformation in Africa	7
2015	998616	Full Panel	Critical Theories of Peace: Peace, Justice, Human Rights	6
2015	998717	Full Panel	Financial Crisis Data and Politics: Measurement Problems and Solutions	7
2015	998778	Full Panel	Evaluating the Role of New Technologies on Development in Poor Countries	5
2015	998788	Full Panel	Civilian Mobilization and (Non)Violence in Civil War	9
2015	998849	Full Panel	Justifying Political Authority: Diverse Traditions in Debate	6
2015	998865	Full Panel	Diversities in Nature, Society, and Policy	7
2015	998884	Full Panel	Legitimation in Autocracies: The Endurance of Communism in a Democratizing World	7
2015	998934	Full Panel	Constitution Making in Democratic Constitutional Orders	7
2015	998941	Roundtable	Exploring the Theoretical Nexus Between Public Policy and Public Management	8
2015	999071	Roundtable	Journal Editors & DA-RT: New Data Sharing and Research Transparency Requirements	5
2015	999101	Full Panel	Power, Ideas, and Public Policy	7
2015	999108	Full Panel	Disabled Citizenship	6
2015	999114	Full Panel	Resource Allocation and Distribution in Developing Countries	7
2015	999152	Full Panel	Market Access and Political Influence: Evidence from Firm-level Data	8
2015	999166	Full Panel	"Comparative Perspectives on ""Advice for Rulers"": Ancient to Early Modern"	6
2015	999182	Full Panel	The Electoral Connection and Democratic Accountability	8
2015	999203	Full Panel	Economic Inequality and Democratic Response	6
2015	999223	Full Panel	Universality, Spatial Order and Exclusion in the Thought of Carl Schmitt	6
2015	999240	Roundtable	David Vogel's Contributions to Political Science	6
2015	999261	Full Panel	What’s the “I” in “IPE”?	7
2015	999309	Full Panel	The Affective Turn in Political Thought	7
2015	999317	Full Panel	The Politics of Property Rights Protection	6
2015	999363	Full Panel	Democracy, Inequality, and Corruption	7
2015	999406	Theme Session	30 Years After Protest is Not Enough: Neither Protest Nor Elections are Enough	8
2015	999427	Full Panel	Ideas, Institutions, and Cities	7
2015	999459	Full Panel	Public Opinion in Times of Crisis: The Ukraine-Russia Conflict	6
2015	999484	Theme Session	Fifty Years after the VRA: The Future of Voting and Representation in the US	6
2015	999517	Full Panel	Contention, Uncertainty and Reform after the Arab Uprisings	6
2015	999590	Full Panel	War, Development and the Emergence of the State	7
2015	999607	Roundtable	Tuckness and Parrish’s “The Decline of Mercy in Public Life”	6
2015	999647	Full Panel	Social Policy in Non-Democracies: Dynamics of Social Policy Debates in Russia	6
2015	999656	Full Panel	Comparative & Multilevel Citizenship 1: Multilevel & Differentiated Citizenship	7
2015	999673	Roundtable	New Directions in Research on  States, Markets, and Institutions in Eurasia	8
2015	999680	Full Panel	Disentangling the Coil of Radical Politics in Europe	5
2015	999692	Full Panel	The Domestic Politics of Chinese Foreign Policy	7
2015	999704	Roundtable	Dynamics among Nations: Evolution of Legitimacy and Development in Modern States	5
2015	999715	Roundtable	Should There Be a Registry for Political Science Research?	6
2015	999716	Full Panel	Intersectional Perspectives on the Body: Disability, Race and Gender	7
2015	999729	Full Panel	Practicing Transnational Citizenship: Dual Nationality and Comparative & Multilevel Citizenship 2: Effects & Evaluation	7
2015	999740	Full Panel	The Future of U.S. Grand Strategy: New Vulnerabilities, New Tools, New Threats?	7
2015	999761	Full Panel	The Limits of Religious Politics	6
2015	999788	Full Panel	Experiments in Comparative Politics	8
2015	999798	Full Panel	Beyond the 'End of Federal Urban Policy' Impasse	6
2015	999804	Full Panel	State-building and the Family	7
2015	999811	Full Panel	International Environmental Cooperation: Actors, Frames, and Strategies	8
2015	999834	Full Panel	Dark Places: Crime and Politics in James Ellroy’s America	6
2015	999926	Roundtable	"Creolizing Liberty: Roundtable on Neil Roberts’s ""Freedom as Marronage"""	6
2015	999932	Roundtable	"Resources, Engagement, and Recruitment: 20 Years of ""Voice and Equality"""	8
2016	1103368	Author meet critics	Kateb on Lincoln	6
2016	1104921	Roundtable	Critical Theory in the 21st Century: New Challenges and Directions	6
2016	1111033	Roundtable	DA-RT and Qualitative Methods: The Case of Process Tracing	7
2016	1111744	Roundtable	1996:  A Good Year for Deliberative Theory, 20 Years Later	5
2016	1111968	Full Panel	Populism and Bigotry in a Time of Inequality	6
2016	1112416	Full Panel	The Role of Elections in Regime Transformations	8
2016	1112835	Full Panel	Statesmanship and Friendship in an Age of Transformation	7
2016	1113188	Author meet critics	Achen and Bartels' Democracy for Realists: Authors meet Critics	8
